#MJD mag magerr flux fluxerr
59079.2175332588 -0.3675792714 0.0312469628 1.4029161301 0.040376594
59079.2175448465 -0.3466756101 0.0314037827 1.3761641628 0.0398054346
59079.2175564342 -0.3573837565 0.0312895278 1.3898038249 0.0400537031
59079.2175680218 -0.292128254 0.0312192139 1.3087337479 0.0376325309
59079.2175796095 -0.3317155764 0.0310794381 1.3573324456 0.0388552361
59079.2175911972 -0.3594970098 0.0314375537 1.3925115432 0.0403215957
59079.2176027849 -0.3276619537 0.0310842868 1.35227426 0.0387164787
59079.2176143726 -0.3205222212 0.0312230779 1.3434109642 0.0386344526
59079.2176259603 -0.3350407454 0.0312995821 1.3614957756 0.0392504824
59079.217637548 -0.3436566002 0.0311024383 1.372342901 0.0393140006
59079.2176491357 -0.3399509558 0.0312525421 1.3676670448 0.0393691368
59079.2176607233 -0.3149690727 0.0312886715 1.3365574441 0.0385181052
59079.217672311 -0.3532773215 0.0315025851 1.3845572836 0.0401742044
59079.2176838987 -0.3546738826 0.0313328346 1.3863393583 0.040009157
59079.2176954864 -0.3303096409 0.0317330808 1.3555759537 0.0396210752
59079.2177070741 -0.3353140822 0.0317082777 1.3618385787 0.0397730089
59079.2177186618 -0.3239244021 0.0314024742 1.3476271776 0.0389783805
59079.2177302494 -0.3392264394 0.0317670675 1.3667546991 0.0399905948
59079.2177418371 -0.3371242013 0.0315032401 1.3641109041 0.0395817568
59079.2177534248 -0.3508524921 0.0315767783 1.3814685324 0.0401789865
